temperature_2m_min,temperature_2m_mean,shortwave_radiation_sum,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant
19.7,25.0,22.05,0.0,0.0,25.4,52.2,2
20.1,25.5,21.22,0.0,0.0,25.6,52.9,7
21.1,25.6,16.22,0.0,0.0,27.6,52.2,4
20.5,25.2,17.96,0.1,1.0,25.8,49.0,359
20.8,25.1,15.54,0.7,5.0,16.1,31.0,327
18.1,22.9,17.71,1.1,2.0,13.4,28.8,206
17.2,24.3,18.05,0.0,0.0,17.0,34.6,213
17.7,23.0,18.36,0.0,0.0,15.6,27.0,131
15.3,19.2,18.14,0.0,0.0,15.5,31.3,103
11.3,15.7,20.69,0.0,0.0,14.0,31.3,109
11.6,15.6,16.17,0.3,3.0,18.0,37.8,31
10.4,13.1,9.53,4.7,12.0,21.1,42.8,53
8.8,12.6,14.04,5.9,5.0,11.7,26.6,140
6.5,10.9,11.69,0.2,2.0,18.7,38.5,128
8.9,11.8,9.77,0.0,0.0,13.8,31.3,162
9.6,13.8,15.32,0.0,0.0,17.1,33.5,185
8.0,12.1,18.05,0.0,0.0,15.4,29.9,47
7.3,11.8,13.75,0.0,0.0,18.3,38.5,343
11.5,13.5,4.4,0.2,2.0,19.0,35.6,337
11.0,14.6,9.03,1.6,12.0,16.4,30.6,341
10.9,12.3,3.81,4.3,12.0,14.2,27.0,79
10.4,11.9,4.31,6.2,24.0,14.8,36.7,205
11.0,14.6,6.31,10.0,15.0,13.4,29.5,246
13.5,16.5,4.98,5.3,8.0,15.3,33.8,218
9.4,15.0,9.8,4.3,7.0,17.3,35.3,263
15.6,19.7,8.98,16.9,16.0,28.1,50.4,267
10.7,12.9,7.12,0.4,4.0,33.0,59.8,215
7.7,11.7,8.35,5.7,11.0,15.3,33.1,326
8.0,11.3,11.68,1.9,5.0,15.3,34.2,253
5.4,10.3,10.26,0.0,0.0,7.7,18.4,200
7.6,10.1,4.63,5.0,8.0,8.7,17.3,78
6.5,9.1,8.03,2.2,7.0,16.6,31.7,204
8.2,10.7,6.63,0.9,7.0,33.0,58.0,184
8.9,13.0,10.57,0.1,1.0,13.4,25.6,252
12.6,14.2,1.77,8.6,13.0,14.7,26.6,287
13.7,15.2,5.07,5.5,11.0,15.4,27.7,210
11.8,14.6,7.14,0.4,4.0,11.0,19.1,266
12.6,15.8,6.84,9.5,13.0,19.6,37.8,289
15.0,17.6,8.73,7.6,6.0,16.8,39.2,249
12.7,16.3,5.27,16.8,13.0,24.0,49.3,279
8.5,11.2,7.78,2.1,12.0,30.1,65.5,227
9.6,11.4,8.88,0.2,2.0,23.5,44.3,237
8.1,9.8,5.56,1.7,7.0,21.6,43.9,197
6.8,11.3,9.76,0.0,0.0,17.9,38.5,207
8.0,11.7,10.04,0.0,0.0,14.3,29.9,118
4.6,10.4,12.58,0.0,0.0,10.5,21.6,6
6.3,12.2,11.4,0.0,0.0,14.0,29.2,338
10.3,11.4,1.59,23.8,19.0,22.0,41.0,99
9.2,10.5,3.78,3.2,8.0,25.4,46.4,109
5.1,9.7,11.79,0.0,0.0,13.0,24.5,155
6.1,8.7,5.97,0.1,1.0,11.8,23.4,115
5.9,7.7,6.48,0.0,0.0,8.5,20.2,63
2.7,6.1,9.41,0.0,0.0,10.9,24.1,4
0.4,4.9,10.97,0.0,0.0,12.1,26.6,360
-0.2,5.3,10.74,0.0,0.0,9.7,21.2,292
4.9,9.7,8.04,0.0,0.0,19.5,34.6,215
7.3,10.2,7.72,1.2,4.0,20.7,40.0,196
4.5,7.3,5.09,5.8,20.0,22.4,44.3,102
4.7,6.2,4.69,0.1,1.0,20.4,38.2,119
3.5,6.2,6.88,0.0,0.0,13.6,25.6,254
5.6,8.8,1.35,10.9,14.0,21.7,37.4,275
8.0,9.7,3.85,0.6,4.0,19.1,37.8,147
7.5,9.3,2.78,3.2,11.0,14.2,25.2,285
10.5,11.1,0.6,12.8,23.0,16.8,33.5,281
6.6,8.4,2.13,2.3,11.0,23.3,44.3,135
6.4,8.0,2.87,0.0,0.0,13.2,23.8,121
7.7,9.9,4.07,3.0,4.0,20.7,38.5,231
10.6,11.7,3.24,4.6,9.0,23.1,40.3,180
1.7,5.8,4.33,0.8,4.0,29.9,56.2,134
0.9,2.7,7.14,0.0,0.0,16.7,33.5,147
2.8,5.0,2.42,0.7,4.0,10.3,18.4,166
2.5,5.9,5.98,0.6,5.0,10.2,20.2,142
4.3,5.7,2.62,1.9,16.0,8.3,19.1,148
1.1,3.5,2.06,1.0,8.0,11.5,21.6,35
0.5,1.5,3.65,0.0,0.0,14.0,24.8,325
0.4,2.2,4.05,0.0,0.0,13.6,25.9,294
-2.3,1.6,6.94,0.0,0.0,9.4,22.7,267
1.4,4.0,2.71,0.0,0.0,6.9,11.2,232
2.9,3.8,3.62,0.0,0.0,13.7,25.6,271
3.0,4.5,1.31,0.0,0.0,11.9,23.0,252
5.8,8.0,2.69,0.0,0.0,24.4,45.4,189
8.0,9.7,3.88,0.1,1.0,28.7,51.5,149
2.7,5.1,2.42,0.0,0.0,18.4,36.0,111
-1.7,0.5,5.83,0.2,2.0,14.0,26.3,263
1.3,3.5,0.74,3.4,18.0,14.8,26.6,258
-2.4,0.7,1.46,11.9,18.0,18.4,32.8,48
-3.7,-2.9,3.64,2.5,7.0,17.4,30.6,85
-2.7,0.9,0.51,12.8,14.0,28.1,55.1,320
-2.2,-1.3,1.43,9.6,14.0,19.2,34.9,38
0.2,2.5,1.04,7.8,12.0,18.4,32.4,9
0.8,7.1,0.89,5.9,14.0,21.3,42.1,234
-0.8,0.2,3.06,0.5,5.0,23.8,41.8,176
-1.4,0.2,3.01,0.0,0.0,16.6,29.2,351
0.5,2.1,2.7,1.0,4.0,20.2,36.4,1
2.3,2.7,0.56,0.0,0.0,19.1,34.9,7
1.6,2.1,0.82,0.5,5.0,12.2,22.3,9
-1.5,0.6,1.63,0.0,0.0,18.1,33.5,353
-4.0,-2.4,3.25,0.0,0.0,22.0,39.2,359
-4.9,-2.6,3.62,0.0,0.0,23.6,41.4,353
-3.8,-2.1,4.0,0.0,0.0,23.0,43.6,351
-3.8,-2.4,3.32,0.0,0.0,22.8,42.8,354
-6.4,-4.3,2.53,0.0,0.0,24.0,44.3,354
-9.0,-7.5,4.47,0.0,0.0,20.8,40.3,351
-10.1,-7.8,4.78,0.0,0.0,18.3,35.6,345
-9.1,-6.5,4.69,0.0,0.0,18.8,33.5,338
-8.9,-6.3,1.86,0.8,8.0,24.4,46.8,327
-4.7,-2.3,1.12,7.1,19.0,22.0,36.4,308
-0.1,1.5,0.71,10.2,22.0,19.7,34.2,293
2.5,4.6,0.94,4.2,16.0,25.9,45.7,287
6.2,7.6,1.4,3.3,6.0,31.3,57.6,293
4.7,5.2,0.69,14.0,23.0,30.3,57.2,298
-0.9,1.0,1.1,17.3,13.0,21.4,40.3,226
-5.1,-2.9,1.88,1.1,5.0,26.8,48.6,194
-8.4,-4.3,1.92,0.7,7.0,20.6,37.8,316
-1.3,-0.2,2.34,1.4,4.0,16.3,30.6,315
0.4,4.9,0.61,6.4,18.0,24.3,45.7,283
-3.2,2.0,1.02,0.8,4.0,24.7,46.4,273
-4.7,-3.8,4.21,0.0,0.0,25.2,41.8,317
-6.3,-3.3,3.34,0.1,1.0,20.7,38.2,237
-1.7,-0.5,0.61,3.1,11.0,20.9,37.4,228
-0.6,1.7,1.31,0.0,0.0,20.3,35.3,209
3.0,3.4,0.68,0.9,2.0,19.2,34.6,191
3.1,3.8,0.59,1.3,10.0,13.4,23.8,186
2.3,3.4,0.73,0.3,3.0,8.7,14.4,126
0.6,1.4,1.21,0.4,4.0,8.4,15.8,112
0.8,1.5,0.8,4.7,15.0,16.5,29.9,179
0.6,1.8,2.25,1.5,5.0,32.6,57.6,293
-0.2,1.1,2.93,0.3,2.0,18.9,34.9,229
1.1,3.0,1.85,0.3,2.0,19.1,35.6,220
0.9,2.7,2.14,0.4,2.0,18.0,33.8,260
1.1,5.4,2.06,1.5,10.0,22.9,41.8,237
